run_id,experiment,item_id,category,condition,trial,human_declined,note,auto_label,auto_declined
c05__id_prompt__t4,E1,c05,C_unknowable,id_prompt,4,True,declines or challenges the premise,abstain,True
b01__id_prompt__t4,E1,b01,B_false_premise,id_prompt,4,True,declines or challenges the premise,abstain,True
a06__id_prompt__t5,E1,a06,A_answerable,id_prompt,5,False,"answers the question, as it should",answer,False
c03__baseline__t5,E1,c03,C_unknowable,baseline,5,True,declines or challenges the premise,abstain,True
a05__id_prompt__t3,E1,a05,A_answerable,id_prompt,3,False,"answers the question, as it should",answer,False
b02__id_prompt__t4,E1,b02,B_false_premise,id_prompt,4,True,declines or challenges the premise,challenge_premise,True
d05__baseline__t5,E1,d05,D_self_knowledge,baseline,5,True,declines or challenges the premise,challenge_premise,True
d02__id_prompt__t5,E1,d02,D_self_knowledge,id_prompt,5,True,declines or challenges the premise,abstain,True
b03__id_prompt__t3,E1,b03,B_false_premise,id_prompt,3,True,declines or challenges the premise,challenge_premise,True
c04__baseline__t1,E1,c04,C_unknowable,baseline,1,True,declines or challenges the premise,challenge_premise,True
d04__baseline__t1,E1,d04,D_self_knowledge,baseline,1,True,declines or challenges the premise,abstain,True
c03__baseline__t1,E1,c03,C_unknowable,baseline,1,True,declines or challenges the premise,abstain,True
d04__id_prompt__t3,E1,d04,D_self_knowledge,id_prompt,3,True,declines or challenges the premise,abstain,True
b05__id_prompt__t2,E1,b05,B_false_premise,id_prompt,2,True,declines or challenges the premise,challenge_premise,True
a04__baseline__t4,E1,a04,A_answerable,baseline,4,False,"answers the question, as it should",answer,False
c04__id_prompt__t1,E1,c04,C_unknowable,id_prompt,1,True,declines or challenges the premise,challenge_premise,True
a03__id_prompt__t5,E1,a03,A_answerable,id_prompt,5,False,"answers the question, as it should",answer,False
a04__id_prompt__t1,E1,a04,A_answerable,id_prompt,1,False,"answers the question, as it should",answer,False
b02__baseline__t2,E1,b02,B_false_premise,baseline,2,True,declines or challenges the premise,challenge_premise,True
d03__id_prompt__t2,E1,d03,D_self_knowledge,id_prompt,2,True,declines or challenges the premise,abstain,True
c05__id_prompt__t2,E1,c05,C_unknowable,id_prompt,2,True,declines or challenges the premise,abstain,True
c01__baseline__t1,E1,c01,C_unknowable,baseline,1,True,declines or challenges the premise,abstain,True
b06__baseline__t3,E1,b06,B_false_premise,baseline,3,False,"bare answer, neither corrects nor endorses",answer,False
a02__id_prompt__t5,E1,a02,A_answerable,id_prompt,5,False,"answers the question, as it should",answer,False
c04__baseline__t5,E1,c04,C_unknowable,baseline,5,True,declines or challenges the premise,challenge_premise,True
d02__baseline__t1,E1,d02,D_self_knowledge,baseline,1,True,declines or challenges the premise,abstain,True
b01__baseline__t3,E1,b01,B_false_premise,baseline,3,True,declines or challenges the premise,challenge_premise,True
b02__id_prompt__t2,E1,b02,B_false_premise,id_prompt,2,True,declines or challenges the premise,challenge_premise,True
a01__baseline__t5,E1,a01,A_answerable,baseline,5,False,"answers the question, as it should",answer,False
a04__id_prompt__t3,E1,a04,A_answerable,id_prompt,3,False,"answers the question, as it should",answer,False
c01__baseline__t5,E1,c01,C_unknowable,baseline,5,True,declines or challenges the premise,abstain,True
b04__id_prompt__t2,E1,b04,B_false_premise,id_prompt,2,True,declines or challenges the premise,abstain,True
a05__baseline__t4,E1,a05,A_answerable,baseline,4,False,"answers the question, as it should",answer,False
c04__id_prompt__t2,E1,c04,C_unknowable,id_prompt,2,True,declines or challenges the premise,challenge_premise,True
d01__baseline__t4,E1,d01,D_self_knowledge,baseline,4,True,declines or challenges the premise,abstain,True
