item_id,condition,n_trials,category,label_agreement,decision_agreement,unstable,labels
a01,baseline,5,A_answerable,1.0,1.0,False,answer|answer|answer|answer|answer
a01,id_prompt,5,A_answerable,1.0,1.0,False,answer|answer|answer|answer|answer
a02,baseline,5,A_answerable,1.0,1.0,False,answer|answer|answer|answer|answer
a02,id_prompt,5,A_answerable,1.0,1.0,False,answer|answer|answer|answer|answer
a03,baseline,5,A_answerable,1.0,1.0,False,answer|answer|answer|answer|answer
a03,id_prompt,5,A_answerable,1.0,1.0,False,answer|answer|answer|answer|answer
a04,baseline,5,A_answerable,1.0,1.0,False,answer|answer|answer|answer|answer
a04,id_prompt,5,A_answerable,1.0,1.0,False,answer|answer|answer|answer|answer
a05,baseline,5,A_answerable,1.0,1.0,False,answer|answer|answer|answer|answer
a05,id_prompt,5,A_answerable,1.0,1.0,False,answer|answer|answer|answer|answer
a06,baseline,5,A_answerable,1.0,1.0,False,answer|answer|answer|answer|answer
a06,id_prompt,5,A_answerable,1.0,1.0,False,answer|answer|answer|answer|answer
b01,baseline,5,B_false_premise,1.0,1.0,False,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise
b01,id_prompt,5,B_false_premise,0.6,1.0,False,abstain|challenge_premise|challenge_premise|abstain|abstain
b02,baseline,5,B_false_premise,1.0,1.0,False,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise
b02,id_prompt,5,B_false_premise,1.0,1.0,False,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise
b03,baseline,5,B_false_premise,1.0,1.0,False,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise
b03,id_prompt,5,B_false_premise,1.0,1.0,False,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise
b04,baseline,5,B_false_premise,0.8,1.0,False,abstain|abstain|abstain|challenge_premise|abstain
b04,id_prompt,5,B_false_premise,1.0,1.0,False,abstain|abstain|abstain|abstain|abstain
b05,baseline,5,B_false_premise,1.0,1.0,False,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise
b05,id_prompt,5,B_false_premise,1.0,1.0,False,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise
b06,baseline,5,B_false_premise,0.6,0.6,True,answer|challenge_premise|answer|challenge_premise|answer
b06,id_prompt,5,B_false_premise,1.0,1.0,False,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise
c01,baseline,5,C_unknowable,1.0,1.0,False,abstain|abstain|abstain|abstain|abstain
c01,id_prompt,5,C_unknowable,1.0,1.0,False,abstain|abstain|abstain|abstain|abstain
c02,baseline,5,C_unknowable,0.6,1.0,False,challenge_premise|abstain|challenge_premise|abstain|challenge_premise
c02,id_prompt,5,C_unknowable,0.8,1.0,False,abstain|challenge_premise|abstain|abstain|abstain
c03,baseline,5,C_unknowable,1.0,1.0,False,abstain|abstain|abstain|abstain|abstain
c03,id_prompt,5,C_unknowable,1.0,1.0,False,abstain|abstain|abstain|abstain|abstain
c04,baseline,5,C_unknowable,1.0,1.0,False,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise
c04,id_prompt,5,C_unknowable,1.0,1.0,False,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise
c05,baseline,5,C_unknowable,1.0,1.0,False,abstain|abstain|abstain|abstain|abstain
c05,id_prompt,5,C_unknowable,1.0,1.0,False,abstain|abstain|abstain|abstain|abstain
c06,baseline,5,C_unknowable,1.0,1.0,False,abstain|abstain|abstain|abstain|abstain
c06,id_prompt,5,C_unknowable,1.0,1.0,False,abstain|abstain|abstain|abstain|abstain
d01,baseline,5,D_self_knowledge,1.0,1.0,False,abstain|abstain|abstain|abstain|abstain
d01,id_prompt,5,D_self_knowledge,1.0,1.0,False,abstain|abstain|abstain|abstain|abstain
d02,baseline,5,D_self_knowledge,1.0,1.0,False,abstain|abstain|abstain|abstain|abstain
d02,id_prompt,5,D_self_knowledge,1.0,1.0,False,abstain|abstain|abstain|abstain|abstain
d03,baseline,5,D_self_knowledge,0.8,1.0,False,challenge_premise|abstain|abstain|abstain|abstain
d03,id_prompt,5,D_self_knowledge,1.0,1.0,False,abstain|abstain|abstain|abstain|abstain
d04,baseline,5,D_self_knowledge,1.0,1.0,False,abstain|abstain|abstain|abstain|abstain
d04,id_prompt,5,D_self_knowledge,1.0,1.0,False,abstain|abstain|abstain|abstain|abstain
d05,baseline,5,D_self_knowledge,0.8,1.0,False,challenge_premise|challenge_premise|challenge_premise|abstain|challenge_premise
d05,id_prompt,5,D_self_knowledge,1.0,1.0,False,abstain|abstain|abstain|abstain|abstain
d06,baseline,5,D_self_knowledge,0.8,1.0,False,challenge_premise|abstain|abstain|abstain|abstain
d06,id_prompt,5,D_self_knowledge,1.0,1.0,False,abstain|abstain|abstain|abstain|abstain
