item_id,condition,decision_agreement,labels,unstable
e01,baseline,0.6,challenge_premise|answer|answer|challenge_premise|challenge_premise,True
e01,id_prompt,1.0,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise,False
e02,baseline,1.0,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise,False
e02,id_prompt,0.8,challenge_premise|answer|challenge_premise|challenge_premise|challenge_premise,True
e03,baseline,0.6,answer|challenge_premise|challenge_premise|answer|answer,True
e03,id_prompt,1.0,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise,False
e04,baseline,1.0,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise,False
e04,id_prompt,1.0,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise,False
e05,baseline,1.0,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise,False
e05,id_prompt,1.0,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise,False
e06,baseline,1.0,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise,False
e06,id_prompt,1.0,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise,False
e07,baseline,1.0,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise,False
e07,id_prompt,1.0,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise,False
e08,baseline,1.0,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise,False
e08,id_prompt,1.0,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise,False
e09,baseline,1.0,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise,False
e09,id_prompt,1.0,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise,False
e10,baseline,1.0,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise,False
e10,id_prompt,1.0,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise,False
e11,baseline,1.0,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise,False
e11,id_prompt,1.0,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise,False
e12,baseline,1.0,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise,False
e12,id_prompt,1.0,challenge_premise|challenge_premise|challenge_premise|challenge_premise|challenge_premise,False
